ZONING,ZONING_WEB_URL,ZONING_CHANGE_NARRATIVE,ZONING_STATUS,ZONING_LABEL,ZONE_DESCRIPTION,ZONE_DISTRICT,IZ_DESIGNATION,ZR58,ZR16,GLOBALID,OBJECTID,SHAPEAREA,SHAPELEN
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{C2F47CB9-DE14-4AEC-BE59-E46A89CE950C},741229,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{D1AA3D42-F48E-4AB5-A6E2-CCDD0399E755},741230,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{92D51894-35B6-496E-94B0-2BB8B59FDF0C},741231,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{762C739E-07E9-4F64-AF29-1CC2504D3F2F},741232,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{00FAB984-008B-4CA8-A141-D9DA91B07A25},741233,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{D37B40FC-BB5E-4435-86BA-9E5DB5316CAA},741234,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{0A1D6A43-560B-497C-9696-17D57CD98C42},741235,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{0C9FAE3E-E9C0-492E-9745-4CA427501CBE},741236,0,0
NC-9,https://handbook.dcoz.dc.gov/zones/neighborhood-mixed-use/nc-9/,"Official Digital Zoning Map of July 1, 2010",Final,NC-9,Permits mixed-use development at a moderate density with an emphasis on residential uses,Neighborhood Mixed-Use Zone,,HS-H/C-2-A,NC-9,{CCE31510-2B6B-49DE-A466-2C29C415C02C},741237,0,0
R-13,https://handbook.dcoz.dc.gov/zones/residential/R-13/,"Fixed Zoning Error to Case No. 87-34, 04/01/2011; Fixed mapping error in Square 1300 on April 20, 2012",Final,R-13,"Permits single household attached rowhouses on small lots, mingled with detached and semi-detached houses",Residential Zone,,NO/R-3,R-13,{D18A14C1-B4A5-435E-96B6-2356EED5DF5A},741238,0,0
R-13,https://handbook.dcoz.dc.gov/zones/residential/R-13/,"Fixed Zoning Error to Case No. 87-34, 04/01/2011",Final,R-13,"Permits single household attached rowhouses on small lots, mingled with detached and semi-detached houses",Residential Zone,,NO/R-3,R-13,{4A501071-9CAD-4BA7-9445-05C4946BC1E7},741239,0,0
NC-14,https://handbook.dcoz.dc.gov/zones/neighborhood-mixed-use/nc-14/,ZC 10-19 effective 12/09/2011,Final,NC-14,Permits mixed-use development at a moderate density with an emphasis on arts and arts-related uses,Neighborhood Mixed-Use Zone,,HS-A/C-2-A,NC-14,{113F9B6B-2707-4295-AFC4-7046D6C56CDB},741240,0,0
R-14,https://handbook.dcoz.dc.gov/zones/residential/R-14/,"Fixed Zoning Boundary to match DCGIS Baist Map on March 14, 2012",Final,R-14,Permits detached houses on large lots,Residential Zone,,WH/R-1-A,R-14,{B7DEF578-CAA0-4D02-ADBB-B1062424D7FD},741241,0,0
D-6,https://handbook.dcoz.dc.gov/zones/downtown/d-6/,Created by ZC # 12-07 on 2/20/2013,Final,D-6,Permits high-density commercial and residential development,Downtown Zone,,DD/C-4,D-6,{C28BC33A-DBBF-45E9-B8D3-C6D848134919},741242,0,0
ARTS-3,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/mixed-use-uptown-arts/arts-3/,Fixed Topology Error 11/18/13,Final,ARTS-3,Permits medium density mixed-use development with a focus on employment,Special Purpose Zone,,ARTS/C-3-A,ARTS-3,{E2D751AC-78A6-475D-9F40-CB1A83E7B6D6},741243,0,0
UNZONED,https://handbook.dcoz.dc.gov/,"Fixed Topology Errors 11/05/13, Fixed Error Baist Book - Sq 1194 and Sq  1214, 7/8/14",Final,UNZONED,,Unzoned,,UNZONED,UNZONED,{44215A29-7ABD-40BA-8BDB-5FC5B91E1625},741244,0,0
UNZONED,https://handbook.dcoz.dc.gov/,"Fixed Topology Errors 11/05/13, Fixed Error Baist Book - Sq 1194 and Sq  1214, 7/8/14",Final,UNZONED,,Unzoned,,UNZONED,UNZONED,{4796A7C1-F728-41C9-A09D-0959D99FD58C},741245,0,0
UNZONED,https://handbook.dcoz.dc.gov/,"Fixed Topology Errors 11/05/13, Fixed Error Baist Book - Sq 1194 and Sq  1214, 7/8/14",Final,UNZONED,,Unzoned,,UNZONED,UNZONED,{7740DD3B-53C0-4895-8D85-334BE5D63641},741246,0,0
D-4,https://handbook.dcoz.dc.gov/zones/downtown/d-4/,"Official Digital Zoning Map of July 1, 2010",Final,D-4,Permits high-density development of commercial and mixed uses,Downtown Zone,,HR/C-3-C,D-4,{9D7CB2F9-B1BC-4986-B491-9EFD1730AE36},741247,0,0
D-4,https://handbook.dcoz.dc.gov/zones/downtown/d-4/,"Official Digital Zoning Map of July 1, 2010",Final,D-4,Permits high-density development of commercial and mixed uses,Downtown Zone,,HR/C-3-C,D-4,{0063E7DB-9024-4543-A532-13835429BFC6},741248,0,0
D-3,https://handbook.dcoz.dc.gov/zones/downtown/d-3/,"Official Digital Zoning Map of July 1, 2010",Final,D-3,Permits high-density development of commercial and mixed uses,Downtown Zone,,C-3-C,D-3,{1E61A307-A6CA-4BCE-ACFB-CAD49C6BDC3E},741249,0,0
D-5-R,https://handbook.dcoz.dc.gov/zones/downtown/d-5-r/,"Fixed zoning boundary in Square 0371 to match official zoning records on March 21, 2012",Final,D-5-R,Permits high density commercial and mixed use development through requirements and incentives for residential use,Downtown Zone,,DD/C-3-C,D-5-R,{4B379D5E-0C24-4670-B4BA-B2656C98A97E},741250,0,0
D-4-R,https://handbook.dcoz.dc.gov/zones/downtown/d-4-r/,"Official Digital Zoning Map of July 1, 2010",Final,D-4-R,Permits high-density mixed use development with an emphasis on residential uses,Downtown Zone,,DD/C-2-C,D-4-R,{46B3704B-BADE-4C21-BEED-2064DC9F57EE},741251,0,0
D-5,https://handbook.dcoz.dc.gov/zones/downtown/d-5/,"Official Digital Zoning Map of July 1, 2010",Final,D-5,Promotes high-density development of commercial and mixed-uses in areas that had been receiving areas for transferable development rights under Chapter 17 of the 1958 Zoning Regulations,Downtown Zone,,DC/C-3-C,D-5,{C91E76D1-DFE2-472F-A3AF-DAE62FF13FD1},741252,0,0
D-1-R,https://handbook.dcoz.dc.gov/zones/downtown/d-1-r/,"Official Digital Zoning Map of July 1, 2010",Final,D-1-R,Permits high density housing with a limited amount of commercial uses permitted on only the ground floor,Downtown Zone,,DD/R-5-E,D-1-R,{8D12F2AF-8AB1-49AE-8454-427EBCD800A0},741253,0,0
D-1-R,https://handbook.dcoz.dc.gov/zones/downtown/d-1-r/,"Official Digital Zoning Map of July 1, 2010",Final,D-1-R,Permits high density housing with a limited amount of commercial uses permitted on only the ground floor,Downtown Zone,,DD/R-5-E,D-1-R,{BAFF3335-B8CD-437A-A155-79CC1BC71DE5},741254,0,0
D-4-R,https://handbook.dcoz.dc.gov/zones/downtown/d-4-r/,"Official Digital Zoning Map of July 1, 2010",Final,D-4-R,Permits high-density mixed use development with an emphasis on residential uses,Downtown Zone,,DD/C-2-C,D-4-R,{58662C8C-0E68-4A02-9CFE-84024932486E},741255,0,0
D-4-R,https://handbook.dcoz.dc.gov/zones/downtown/d-4-r/,"Fixed zoning boundary in Square 0371 to match official zoning records on March 21, 2012",Final,D-4-R,Permits high-density mixed use development with an emphasis on residential uses,Downtown Zone,,DD/C-2-C,D-4-R,{1988DCD5-DD85-442C-89D6-8AEE4FC1293D},741256,0,0
R-11,https://handbook.dcoz.dc.gov/zones/residential/R-11/,"Official Digital Zoning Map of July 1, 2010",Final,R-11,Permits detached houses on large lots,Residential Zone,,NO/TSP/R-1-A,R-11,{EAAF0F13-578A-4D0B-95A5-1D94936F3F99},741257,0,0
MU-7B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Official Digital Zoning Map of July 1, 2010; ZC 21-08 renamed zone from MU-7 to MU-7B",Final,MU-7B,Permits medium density mixed-use development,Mixed-Use Zone,,DD/C-3-A,MU-7B,{4D658AAB-E502-4D95-A6B2-7AF6C8E75BB8},741258,0,0
MU-26,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-26/,"Official Digital Zoning Map of July 1, 2010",Final,MU-26,Permits moderate density mixed-use development in the vicinity of the U.S. Capitol,Mixed-Use Zone,,CAP/CHC/C-2-A,MU-26,{DB1A1C71-EB5F-4412-A40C-9383821E2AFA},741259,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,DD/C-2-A,MU-4,{7A7A41C4-FD47-414A-92BA-2093AC1C6260},741260,0,0
RA-2,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Changed Zoning Boundary to run along the center line of the alley on March 7,2012 in Square 0514 b/w lots 83 and 87 ",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,Residential Apartment Zone,,DD/R-5-B,RA-2,{17DFF2FC-5FD9-42A3-A2E8-6CC514495DEC},741261,0,0
D-4-R,https://handbook.dcoz.dc.gov/zones/downtown/d-4-r/,"Changed Zoning Boundary to run along the center line of the alley on March 7,2012 in Square 0514 b/w lots 83 and 87 ",Final,D-4-R,Permits high-density mixed use development with an emphasis on residential uses,Downtown Zone,,DD/C-2-C,D-4-R,{996BF8DC-8C3E-4B57-BE9B-3810AE267BC2},741262,0,0
D-7,https://handbook.dcoz.dc.gov/zones/downtown/d-7/,"Official Digital Zoning Map of July 1, 2010",Final,D-7,Permits the highest density commercial development that is achievable under the height act,Downtown Zone,,DD/C-5,D-7,{48D2F5C8-4379-4D98-8713-F5891880103B},741263,0,0
RA-8,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-8/,"Correction made on Feb 29, 2012 for a wrongly drawn segment in Square 66 Parcel 78 and Square 92 Parcel 64",Final,RA-8,Permits moderate to high-density rowhouses and apartments in Dupont Circle,Residential Apartment Zone,,D/DC/R-5-B,RA-8,{4BD20735-987F-4AFD-A354-431415BE878C},741264,0,0
RA-6,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-6/,"Official Digital Zoning Map of July 1, 2010",Final,RA-6,"Permits low to moderate-desnity development including detached dwellings, rowhouses, and low-rise apartments in the vicinity of the U.S. Naval Observatory",Residential Apartment Zone,,D/NO/R-5-A,RA-6,{03609DA7-5623-4F49-81CE-EF10878E4B6D},741265,0,0
MU-26,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-26/,"Official Digital Zoning Map of July 1, 2010",Final,MU-26,Permits moderate density mixed-use development in the vicinity of the U.S. Capitol,Mixed-Use Zone,,CAP/CHC/C-2-A,MU-26,{47DE6A6D-D12A-4F7F-9A5F-5CB29A371830},741266,0,0
R-12,https://handbook.dcoz.dc.gov/zones/residential/R-12/,"Official Digital Zoning Map of July 1, 2010",Final,R-12,Permits detached houses on moderately-sized lots,Residential Zone,,D/NO/R-1-B,R-12,{CD85680A-5583-4473-8470-BD40CBBD2544},741267,0,0
R-11,https://handbook.dcoz.dc.gov/zones/residential/R-11/,"Official Digital Zoning Map of July 1, 2010",Final,R-11,Permits detached houses on large lots,Residential Zone,,D/NO/TSP/R-1-A,R-11,{2CCB83A0-5856-465D-B001-F07CEAB0A2A8},741268,0,0
D-5-R,https://handbook.dcoz.dc.gov/zones/downtown/d-5-r/,"Fixed zoning boundary in Square 0371 to match official zoning records on March 21, 2012",Final,D-5-R,Permits high density commercial and mixed use development through requirements and incentives for residential use,Downtown Zone,,DD/C-3-C,D-5-R,{0ABA1620-336A-4F84-8350-A648460ABE89},741269,0,0
D-1-R,https://handbook.dcoz.dc.gov/zones/downtown/d-1-r/,"Official Digital Zoning Map of July 1, 2010",Final,D-1-R,Permits high density housing with a limited amount of commercial uses permitted on only the ground floor,Downtown Zone,,DD/R-5-E,D-1-R,{2184A201-C3E3-47F3-ACB4-33E99537CA99},741270,0,0
D-5-R,https://handbook.dcoz.dc.gov/zones/downtown/d-5-r/,"Official Digital Zoning Map of July 1, 2010",Final,D-5-R,Permits high density commercial and mixed use development through requirements and incentives for residential use,Downtown Zone,,DD/C-3-C,D-5-R,{011974FC-647A-4376-80B8-AD534876988B},741271,0,0
D-6-R,https://handbook.dcoz.dc.gov/zones/downtown/d-6-r/,"Fixed Mapping error of order 632 - June 24, 2011",Final,D-6-R,Permits high-density commercial development in the downtown core,Downtown Zone,,DD/C-4,D-6-R,{869DF230-6371-445D-B27A-512FE2A771C6},741272,0,0
D-5,https://handbook.dcoz.dc.gov/zones/downtown/d-5/,"Misc map correction in Square 0577 on April 12, 2012; Fixed zoning boundary in Squares 0742, 0769, 0800 on April 24, 2012 based on order no 971, Updated Zoning to D-5 in Sq. 649 per order 08-06A",Final,D-5,Promotes high-density development of commercial and mixed-uses in areas that had been receiving areas for transferable development rights under Chapter 17 of the 1958 Zoning Regulations,Downtown Zone,,C-3-C,D-5,{58ED30ED-D61D-4003-A7FB-B759C7625B73},741273,0,0
MU-6B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-6/,,Final,MU-6B,Permits medium to high density mixed-use development with a focus on residential use,Mixed-Use Zone,,DD/C-2-C,MU-6B,{4FC0BE95-16AE-49F9-BDA9-FCCC991DBF87},741274,0,0
D-8,https://handbook.dcoz.dc.gov/zones/downtown/d-8/,,,D-8,"Permits, with conditions, high-density development",Downtown Zone,,C-3-C,D-8,{DCA67B19-2284-4A8B-BE48-21B31DE3559E},741275,0,0
D-4,https://handbook.dcoz.dc.gov/zones/downtown/d-4/,,,D-4,Permits high-density development of commercial and mixed uses,Downtown Zone,,C-3-C,D-4,{18FE0FC3-5306-4C54-ABE7-CA1FD8BD86B2},741276,0,0
CG-3,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/capitol-gateway/cg-3/,"Fixed zoning boundary in Squares 0742, 0769, 0800 on April 24, 2012 based on order no 971",Final,CG-3,Permits high density mixed-use development with a focus on employment,Special Purpose Zone,,CG/C-3-C,CG-3,{C661526F-C021-4E09-88C0-092EC66F84FC},741277,0,0
MU-9B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-9/,"Changed Zoning Boundary on Feb 29, 2012 to run along the center line of the alley in Square 0099 between lots 48 and 53. Fixed Zoning Boundary in Lot 874 Square 0101 on March 2, 2012 to extend it to the center line of the alley ; ZC 21-08 renamed zone from MU-9 to MU-9B",Final,MU-9B,"Permits high density mixed-use development including office, retail, and housing with a focus on employment",Mixed-Use Zone,,C-3-C,MU-9B,{B180DFC3-4581-41BE-8156-00321D564549},741278,0,0
MU-9B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-9/,"Map correction per Zoning Commission Order #821; ZC 21-08 renamed zone from MU-9 to MU-9B",Final,MU-9B,"Permits high density mixed-use development including office, retail, and housing with a focus on employment",Mixed-Use Zone,,C-3-C,MU-9B,{44DC04AD-280C-495B-BE46-5839E68C4DFC},741279,0,0
MU-9B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-9/,"Map correction per Zoning Commission Order #821; ZC 21-08 renamed zone from MU-9 to MU-9B",Final,MU-9B,"Permits high density mixed-use development including office, retail, and housing with a focus on employment",Mixed-Use Zone,,C-3-C,MU-9B,{ECB6E6AD-4E69-4694-97AF-17C7E1E8FA8C},741280,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{5DE5F742-D0B4-4E74-8D1F-3DA1F53B93E5},741281,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{1FA290A1-08E6-4DAE-8C08-FEA3BA2D86D0},741282,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{D472DA5E-0EB4-49EB-A1F2-92F01E59BD74},741283,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{1DE4B4F7-2A99-4BD6-A08C-07A8C67F1BA5},741284,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012, Fixed topology 5/6/2021",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{8D5FE0E9-4027-43D1-B126-73094C3E063D},741285,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{A0EEC607-062B-44FB-8530-29C78697C321},741286,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{33768DFA-E664-40C3-8E33-FFA467CEE121},741287,0,0
R-3,https://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",Residential Zone,,R-3,R-3,{BBB22979-DEF8-4A56-B335-311AA0B50E06},741288,0,0
R-3,https://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",Residential Zone,,R-3,R-3,{6E0D1644-78D5-40E4-82BE-A3456C77AD34},741289,0,0
R-3,https://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",Residential Zone,,R-3,R-3,{3A6B23A5-C446-403E-BCDC-0423EA328A35},741290,0,0
R-3,https://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",Residential Zone,,R-3,R-3,{3D1BB1AC-32B5-4588-BA0C-EC0F9255870B},741291,0,0
R-3,https://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",Residential Zone,,R-3,R-3,{F34DF4B7-5A8A-409C-A01A-8A965DD612BB},741292,0,0
R-3,https://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",Residential Zone,,R-3,R-3,{412ECA38-D04B-464D-A777-F71FBE21D7A9},741293,0,0
R-3,https://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",Residential Zone,,R-3,R-3,{11E217B0-7D7D-4E62-A06C-1897DB1D391F},741294,0,0
R-3,https://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",Residential Zone,,R-3,R-3,{FDCB30A0-539E-4D95-96DD-9206E2146F01},741295,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{3118EDB2-D6A8-4C38-9E67-199AA759CF9C},741296,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{AD731A06-BAB3-4EBA-9170-86248C42031E},741297,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{A0367441-B66C-4A49-9236-BEAFE562BD07},741298,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{F5B3AC77-C886-4E90-AC7C-1C2D5EE86AD6},741299,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{FCB4DD54-8E02-4CD6-A029-A38E56720046},741300,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{F55989D0-B4F6-4C4D-9326-59CBA8C797FA},741301,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{A3368EA5-A951-4128-A48C-D1CCE7A042BC},741302,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{DA53A301-3C06-4FD5-B64F-36D9E44103C4},741303,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{5C208B06-03EF-4579-8295-0791F74356C5},741304,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{26C28335-1559-424E-BAD3-971A1A29FFCC},741305,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{B638C017-4A4D-44B8-97DF-CF2CBDD29570},741306,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{A4549797-A00F-449C-BAFC-E66036BFDAC7},741307,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{7D4BA059-02C5-4D06-A8D4-B14B109BF3FF},741308,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{936843DD-6F9B-4B4E-8885-647CED0FAC59},741309,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{FAF5DFD8-FECF-46D9-836E-F3F70AA0E277},741310,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{2F52661B-912F-4742-99FD-4F3D9010A032},741311,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{C6784A05-6B0C-419C-B38E-F87FAAB8ED88},741312,0,0
R-2,https://handbook.dcoz.dc.gov/zones/residential/R-2/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,R-2,Provide areas predominantly developed with semi-detached houses on moderately-sized lots that also contain some detached dwellings,Residential Zone,,R-2,R-2,{D3C45EBF-9BE5-4ABD-A103-CB1D244E9678},741313,0,0
