ZONING,ZONING_WEB_URL,ZONING_CHANGE_NARRATIVE,ZONING_STATUS,ZONING_LABEL,ZONE_DESCRIPTION,ZONE_DISTRICT,IZ_DESIGNATION,ZR58,ZR16,GLOBALID,OBJECTID,SHAPEAREA,SHAPELEN
PDR-4,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-4/,"Zoning Correction made on March 12, 2012 in Square 1048 to match DCGIS Baist Map",Final,PDR-4,"Permits high density commercial and production, distribution, and repair activities requiring some heavy machinery, minimizing non-industrial uses","Production, Distribution, and Repair Zone",,M,PDR-4,{826BA1C6-0662-400E-845C-5B688DC45FCC},741025,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{24A09798-7FF6-4C03-8923-E22EECEF0A77},741026,0,0
RA-5,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Correction made on Feb 27, 2012 to match DCGIS Baist Map ",Final,RA-5,permits high-density apartments,Residential Apartment Zone,,R-5-E,RA-5,{27ED368A-7D7B-41E7-B31B-C025888E8412},741027,0,0
MU-12,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-12/,"Official Digital Zoning Map of July 1, 2010",Final,MU-12,Permits moderate density mixed-use development in the vicinity of the waterfront,Mixed-Use Zone,,W-1,MU-12,{A368DF20-7F15-4C30-A35A-8AC144BB1DAF},741028,0,0
MU-12,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-12/,"Official Digital Zoning Map of July 1, 2010",Final,MU-12,Permits moderate density mixed-use development in the vicinity of the waterfront,Mixed-Use Zone,,W-1,MU-12,{E4A75810-8ECB-449C-9C5C-75F2108B70C4},741029,0,0
UNZONED,https://handbook.dcoz.dc.gov/,"Fixed mapping error in Square 1454 & 1455 on March 14, 2012 by aligning zoning boundary to the center line of the street",Final,UNZONED,,Unzoned,,UNZONED,UNZONED,{73B7175E-D2FD-4FC0-9123-D8261DE97944},741030,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{6F3A51F1-0CA1-4172-BE9B-C76779E90DED},741031,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{DBA5B3B8-1425-444E-AEF4-827E1F9EBCE3},741032,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{0F504DCA-4BD6-4C12-8BC0-6E172A15AD99},741033,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{5FF4BB4B-B747-44B2-9050-B9DA50ADB519},741034,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{1D0E35BE-FEE6-4C20-8111-9DD7E857DD13},741035,0,0
MU-7B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Official Digital Zoning Map of July 1, 2010; ZC 21-08 renamed zone from MU-7 to MU-7B",Final,MU-7B,Permits medium density mixed-use development,Mixed-Use Zone,,C-3-A,MU-7B,{CB1F14F3-7424-47D0-B9FB-C810DCCEB57E},741036,0,0
