X,Y,LITTERID,MAPX,MAPY,LINK_ID,TYPE,BUSSTOP,NAME,CREATEDAT,GLOBALID,LINERCHG,OWNER,LINEREA,LCAN_REPAI,RAT_COVER,POWERWASH,LCAN_DAMAG,DOOR,CONCRETE_B,COMMENTS,SENSORED,OBJECTID,GIS_ID,GLOBALID_1,CREATOR,CREATED,EDITOR,EDITED
-77.0019575840511,38.9571926351933,0,0,0,0,1,0,TQ,,{74E75800-6CDA-4D58-B129-C7D5304D755A},,1, , ,,, , , , ,0,82,LitterCans_109,{40AF6D07-D0C4-48F7-827F-01BFF85103D2},,,,
-77.0023098568032,38.9571905478494,0,0,0,0,1,0,TQ,,{AF8B675A-F8C5-45C7-9F8B-389C93B50B0D},,1, , ,,, , , , ,0,83,LitterCans_110,{A9EA8E3A-9D3D-4296-9790-99A2019F84E9},,,,
-77.0838810867838,38.9568908533578,3034,392729.83439,143223.149964,24589,1,1,TQ,2004/02/26 05:00:00+00,{CE100530-4368-4EDB-A079-8367ECD42013},,1, , ,,, , , , ,0,84,LitterCans_113,{7D4CE28B-F86D-4AE4-8FCD-C37D27D44C5E},,,,
-77.0834519239755,38.9566885735342,3033,392767.010786,143200.660539,24589,1,0,TQ,2004/02/26 05:00:00+00,{E57B8AE5-D127-433A-A341-354904EC4046},,1, , ,,, , , , ,0,85,LitterCans_114,{C5E897CD-E58D-4B88-9301-9A821F55A1AE},,,,
-77.0162386958988,38.9567046630016,2107,398592.711045,143199.266191,16754,1,0,TQ,2004/02/23 05:00:00+00,{57FCD36C-2F8E-43EA-BC24-A24FF468D393},,1,4, ,,, , , ,"ratplates, powerwash",0,86,LitterCans_115,{97F257DC-51E1-488D-9764-D482CB3C22A2},,,,
-77.0126257396878,38.9566662473913,1958,398905.863087,143194.952334,29853,1,1,TQ,2004/02/20 05:00:00+00,{A9466DE0-9FEC-4A6C-BD26-F0DCB6CEAA84},,1,4, ,,, , , ,"ratplates, powerwash",0,87,LitterCans_116,{54622631-6EA4-4005-9758-87CE1B1A64B6},,,,
-77.0135179809075,38.9566634091072,1955,398828.528325,143194.647866,29583,1,1,TQ,2004/02/20 05:00:00+00,{208DE74D-8DE4-4704-BE11-9DC82031EE9D},,1,4, ,,, , , ,"ratplates, powerwash",0,88,LitterCans_117,{F96910A6-79C5-4E5D-90DF-4E3ACB0A6526},,,,
-77.0137989953125,38.9566578902408,1954,398804.17092,143194.038931,17157,1,1,TQ,2004/02/20 05:00:00+00,{36E1214D-6071-437C-9457-5358314750D2},,1, , ,,, , , , ,0,89,LitterCans_119,{0BF6572B-7275-4001-847E-6849995DB7F0},,,,
-77.0115051722621,38.9566581385037,1962,399002.988242,143194.038931,1957,1,0,TQ,2004/02/20 05:00:00+00,{C6690DA1-FE26-47FB-A0FD-274747D6EEAC},,1,4, ,,, , , ,"ratplates, powerwash",0,90,LitterCans_120,{3212CFBA-4F39-4020-8A51-443CB8605B38},,,,
-77.0167921104421,38.9566138625855,2105,398544.741896,143189.195319,16129,1,1,TQ,2004/02/23 05:00:00+00,{9A935F92-3E93-4F9C-9EFF-BF196C009FB6},,1, , ,,, , , , ,0,91,LitterCans_122,{E4D39DEE-CD57-4A10-A830-F29B761ABE38},,,,
