X,Y,OBJECTID,LATITUDE,LONGITUDE,DATE_MARKED,YEAR_MARKED,VOLUNTEER_GROUP,CATCH_BASIN_ID,INTERSECTION,GIS_ID,CREATOR,CREATED,EDITOR,EDITED
-76.9950467271467,38.903824456784,1037,38.903817,-76.995044,4/20/2013,2013,Capitol Hill North Neighborhood Association,C-270-079-049-949,1100 8th St NE,StormDrainsPt_1044,,,,
-77.0019745063267,38.9038244548949,1038,38.903817,-77.001972,4/20/2013,2013,Capitol Hill North Neighborhood Association,C-264-080-039-083,1100 3rd St NE,StormDrainsPt_1019,,,,
-77.0531911880331,38.9038022276668,1039,38.903794,-77.053189,10/23/2010,2010,Foggy Bottom Cleanup / Alt Breaks,C-219-081-625-040,Pennsylvania between 25th & L,StormDrainsPt_468,,,,
-77.0013661765932,38.9038050145665,1040,38.903797,-77.001364,4/20/2013,2013,Capitol Hill North Neighborhood Association,C-264-080-568-046,1100 Abbey Pl NE,StormDrainsPt_1020,,,,
-76.996085613397,38.9037911202403,1041,38.903783,-76.996083,4/20/2013,2013,Capitol Hill North Neighborhood Association,C-269-079-145-929,1101 7th St NE,StormDrainsPt_1043,,,,
-77.0026995060152,38.9037911184776,1042,38.903783,-77.002697,4/20/2013,2013,Capitol Hill North Neighborhood Association,C-263-080-408-057,220 L St NE,StormDrainsPt_1016,,,,
-76.9983078372312,38.9037911194719,1043,38.903783,-76.998306,5/14/2015,2015,Two Rivers PCS,C-267-079-217-972,6th & L NE,StormDrainsPt_1288,,,,
-76.9972189529641,38.9037883420891,1044,38.903781,-76.997217,4/20/2013,2013,Capitol Hill North Neighborhood Association,C-268-079-162-951,636 L St NE,StormDrainsPt_1038,,,,
-76.9363161559019,38.9037355714303,1045,38.903728,-76.936314,10/16/2010,2010,Trash-free Deanwood Initiative - ANC 7 C - 7,C-320-078-975-752,Kane & 46th,StormDrainsPt_395,,,,
-77.052999516412,38.9037022319462,1046,38.903694,-77.052997,10/23/2010,2010,Foggy Bottom Cleanup / Alt Breaks,C-219-080-787-920,Lst between 25th & 24th,StormDrainsPt_467,,,,
-76.9983106181051,38.9036883431985,1047,38.903681,-76.998308,5/14/2015,2015,Two Rivers PCS,C-267-079-213-855,6th & L NE,StormDrainsPt_1287,,,,
-77.0006939535942,38.9036883443013,1048,38.903681,-77.000692,4/20/2013,2013,Capitol Hill North Neighborhood Association,C-265-079-147-903,335 L St NE,StormDrainsPt_1025,,,,
-76.9996245083448,38.9036855621963,1049,38.903678,-76.999622,4/20/2013,2013,Capitol Hill North Neighborhood Association,C-266-079-074-881,1038 5th St NE,StormDrainsPt_1032,,,,
-76.99859117135,38.9036827887589,1050,38.903675,-76.998589,5/14/2015,2015,Two Rivers PCS,C-266-079-969-859,520 L St NE,StormDrainsPt_1282,,,,
-76.9363328177514,38.9036550097706,1051,38.903647,-76.936331,10/16/2010,2010,Trash-free Deanwood Initiative - ANC 7 C - 7,C-320-078-958-662,Kane & 46th,StormDrainsPt_394,,,,
-76.9993995014938,38.9036188994381,1052,38.903611,-76.999397,4/20/2013,2013,Capitol Hill North Neighborhood Association,C-266-079-264-804,501 L St NE,StormDrainsPt_1033,,,,
-76.9364133777518,38.9035939049184,1053,38.903586,-76.936411,10/16/2010,2010,Trash-free Deanwood Initiative - ANC 7 C - 7,C-320-078-890-597,Kane & 46th,StormDrainsPt_393,,,,
-76.925085588391,38.9035855691035,1054,38.903578,-76.925083,10/16/2010,2010,Trash-free Deanwood Initiative - ANC 7 C - 15,C-330-078-713-378,"52nd St NE block of 918, 919, 932",StormDrainsPt_447,,,,
