X,Y,OBJECTID,FEATURECODE,DESCRIPTION,CAPTUREYEAR,CAPTUREACTION,GIS_ID
-77.0207402195714,38.8849278995416,7327,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3269
-77.0283187242162,38.8848849953586,7328,7637,Grate Inlet,2017/03/09 00:00:00+00,E,GratePt_4831
-77.0283195239031,38.8848670684789,7329,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5501
-77.0283176379154,38.8848487008395,7330,7637,Grate Inlet,2017/03/09 00:00:00+00,E,GratePt_4830
-77.0282951950789,38.8848431390971,7331,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5500
-77.0282953092646,38.8848113755043,7332,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5498
-76.9966311128865,38.8848102146221,7333,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5996
-77.0282935072774,38.884772297567,7334,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5496
-77.0283438513231,38.884771375513,7335,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5495
-77.0207407488866,38.8847663250603,7336,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3461
-77.0283670600253,38.8847609922186,7337,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5493
-77.0234984514167,38.8847594788652,7338,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5491
-77.023634524147,38.8847592532229,7339,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5490
-77.0283823300726,38.8847570968864,7340,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5488
-77.0248372648898,38.8847475269487,7341,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5487
-76.9734585073453,38.884746423341,7342,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8587
-77.0284312851347,38.8847414103891,7343,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5485
-77.0284587362489,38.8847334492992,7344,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5483
-76.973457591218,38.8847304782914,7345,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8586
-77.0284734991101,38.884729445978,7346,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5482
-77.0186015941212,38.8846718991486,7347,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3268
-76.9962918137872,38.8846718355613,7348,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5993
-77.0237767403567,38.8846214861497,7349,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5480
-77.0237756974349,38.8846046586986,7350,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5479
-77.0186914519252,38.8845965116446,7351,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3266
-77.0237761057527,38.8845848311598,7352,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5478
-77.0186930949651,38.8845769091358,7353,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3264
-77.0237761239437,38.8845702465806,7354,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5477
-77.0186919024836,38.8845565503765,7355,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_3262
-77.0237753571532,38.8845519597148,7356,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5476
-77.0237770385092,38.8845131872824,7357,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5474
-76.9959024841409,38.8845128245663,7358,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5989
-77.027599596568,38.8844942936864,7359,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5472
-77.0276192223793,38.8844879921853,7360,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5471
-76.9962426212101,38.884468244492,7361,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5994
