SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,OBJECTID
0092    0047,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,12,,2015/05/26 00:00:00+00,0,U,1900,,2001,2,5230,42,1544,2023/01/05 05:16:47+00,16952246
0092    0048,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,,2021/04/07 00:00:00+00,1800000,U,1900,,2000,2,5161,45,1475,2023/01/05 05:16:47+00,16952247
0092    0051,1,1,C,Brick/Concr,50,Very Good,BR,Brick,10,,1900/01/01 00:00:00+00,,U,1905,,1987,1,17010,51,6285,2023/01/05 05:16:47+00,16952248
0092    0052,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,9,,2019/01/23 00:00:00+00,225000,U,1900,1980,2001,2,3977,42,1364,2023/01/05 05:16:47+00,16952249
0092    0053,1,1,C,Brick/Concr,50,Very Good,BR,Brick,12,1,2019/01/10 00:00:00+00,0,U,1912,1990,1975,4,3660,45,1464,2023/01/05 05:16:47+00,16952250
0092    0061,1,1,C,Brick/Concr,40,Good,BR,Brick,10,,2012/07/06 00:00:00+00,14400000,Q,1982,,1982,1,64794,52,5932,2023/01/05 05:16:47+00,16952251
0092    0066,1,1,C,Brick/Concr,35,Average +,BR,Brick,12,,2010/03/02 00:00:00+00,0,U,1912,1928,2000,1,5389,42,2966,2023/01/05 05:16:47+00,16952252
0092    0066,2,1,C,Brick/Concr,50,Very Good,BR,Brick,11,,2010/03/02 00:00:00+00,0,U,1912,,1934,1,5254,42,2966,2023/01/05 05:16:47+00,16952253
0092    0067,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,12,1,1900/01/01 00:00:00+00,,U,1900,,1995,1,14072,42,3955,2023/01/05 05:16:47+00,16952254
0092    0802,1,1,C,Brick/Concr,55,Very Good +,BR,Brick,8,7,2004/03/24 00:00:00+00,1780000,Q,1912,1948,2000,1,6256,42,3876,2023/01/05 05:16:47+00,16952255
0092    0804,1,1,7,3 Story,60,Excellent,BR,Brick,10,8,2017/12/28 00:00:00+00,1844970,U,1907,2019,1992,2,3902,21,1224,2023/01/05 05:16:47+00,16952256
